Year,SMB
1972,0.259053284
1973,0.009053284
1974,-0.790946716
1975,-0.540946716
1976,0.259053284
1977,-0.240946716
1978,-0.160946716
1979,0.469053284
1980,-1.530946716
1981,-0.870946716
1982,-2.860946716
1983,0.339053284
1984,-0.080946716
1985,-2.090946716
1986,-1.280946716
1987,-0.360946716
1988,-0.295094737
1989,-1.684526751
1990,0.186041235
1991,0.101893214
1992,0.0724612
1993,0.103029186
1994,-0.674529086
1995,-1.884617722
1996,1.735572987
1997,0.305818322
1998,-1.614465197
1999,-1.46816692
2000,0.858643693
2001,-1.78980396
2002,0.21296196
2003,-1.645948192
2004,0.238868698
2005,2.581655147
2006,-0.544433181
2007,-1.009065805
2008,-1.189404612
